n, es_ex_max, es_ex_min, es_ex_avg, es_var, teo_ex, teo_var, teo_ex + czeb, teo_ex - czeb
50, 350, 207, 256.86, 698.9503999999998, 258.9183666896708, 783.200094892011, 290.20734427947093, 227.62938909987068
100, 905, 542, 647.07, 3672.5950999999995, 647.8491142530945, 3538.2666782924553, 714.3535001826373, 581.3447283235517
150, 1458, 925, 1083.515, 7395.859774999999, 1088.5348269701883, 8342.901244376255, 1190.6554740278245, 986.4141799125521
200, 2027, 1356, 1560.415, 14512.902775000006, 1562.9661638544044, 15215.109936647557, 1700.8751462333976, 1425.0571814754112
250, 2523, 1765, 2054.525, 21839.809374999997, 2062.536131434585, 24163.499098798507, 2236.330187355661, 1888.742075513509
300, 3359, 2241, 2588.945, 41403.311975000004, 2582.160245669578, 35193.15299682974, 2791.9016131821345, 2372.418878157022
350, 3895, 2738, 3111.01, 49532.899900000004, 3118.472874039615, 48307.43716945821, 3364.205038116324, 2872.740709962906
400, 4729, 3205, 3672.715, 60170.55377499999, 3669.07906907253, 63508.74651713827, 3950.8341633413343, 3387.3239748037254
450, 5102, 3682, 4223.175, 84299.29437499994, 4232.186590682448, 80798.87325378691, 4549.989346440219, 3914.3838349246766
500, 6131, 4256, 4806.64, 101269.68040000004, 4806.40340061917, 100179.20940193407, 5160.273449863829, 4452.53335137451
550, 6736, 4728, 5383.905, 144665.03597499992, 5390.616877206272, 121650.8675732391, 5780.570187830183, 5000.6635665823605
600, 7348, 5310, 5973.89, 151365.55789999996, 5983.917253995811, 145214.75752746884, 6409.967071399053, 5557.867436592569
650, 7819, 5671, 6541.07, 152183.13509999998, 6585.546718139232, 170871.63707284254, 7047.704208980886, 6123.389227297579
700, 8937, 6326, 7189.77, 186685.69709999996, 7194.864239866956, 198622.1472358198, 7693.138947277211, 6696.589532456702
750, 9318, 6891, 7816.415, 199035.37277499997, 7811.3204870234495, 228466.83734613055, 8345.720661689087, 7276.920312357813
800, 10370, 7480, 8515.44, 303888.41639999993, 8434.439449130303, 260406.18341243104, 9004.972295919635, 7863.906602340971
850, 10697, 7997, 9018.97, 283064.3691000001, 9063.80466698389, 294440.6018925317, 9670.47653246445, 8457.132801503329
900, 11744, 8693, 9720.91, 329462.1119000001, 9699.048709230596, 330570.4602167034, 10341.865226808419, 9056.232191652773
950, 12362, 9338, 10298.85, 360164.8774999998, 10339.844991707234, 368796.0849682498, 11018.81119573385, 9660.878787680618
1000, 14635, 9801, 10939.075, 416740.3793749999, 10985.90132168892, 409117.76833921304, 11701.021738418869, 10270.78090495897
1050, 14300, 10436, 11640.065, 422243.45077499986, 11636.954735004234, 451535.7732932151, 12388.233455996995, 10885.676014011473
1100, 14923, 10894, 12321.76, 455052.86240000016, 12292.767317685815, 496050.33774375956, 13080.208059697365, 11505.326575674266
1150, 15182, 11371, 12926.855, 483891.3639749998, 12953.122788076162, 542661.6779721323, 13776.728942415215, 12129.516633737108
1200, 16197, 12393, 13631.67, 554256.0511, 13617.823673862884, 591369.9914503384, 14477.598347433188, 12758.04900029258
1250, 17209, 12784, 14237.075, 570787.3993750002, 14286.68895996147, 642175.4591931913, 15182.635009671769, 13390.74291025117
1300, 18751, 13445, 14917.41, 825877.2318999998, 14959.552112982961, 695078.2477338583, 15891.672174813692, 14027.432051152231
1350, 18676, 13802, 15566.315, 716977.1857750001, 15636.259409803057, 750078.510795285, 16604.55592352915, 14667.962896076964
1400, 19295, 14856, 16399.73, 886506.8571000007, 16316.668513873654, 807176.3907138499, 17321.143744226454, 15312.193283520854
1450, 19502, 15392, 16986.945, 779407.0619750005, 17000.647255006606, 866372.0196596015, 18041.30330989434, 15959.991200118873
1500, 21288, 15848, 17739.35, 836575.1374999997, 17688.07257752657, 927665.520688096, 18764.911423807724, 16611.23373124542
1550, 21834, 16515, 18401.065, 872479.570775, 18378.829628716077, 991057.0086519333, 19491.853105923507, 17265.80615150865
1600, 23394, 17120, 19006.945, 1119739.7519750001, 19072.81096491388, 1056546.5909947003, 20222.02079725233, 17923.601132575426
1650, 24037, 17661, 19771.325, 1136382.1293750003, 19769.915856875345, 1124134.368445554, 20955.31366375578, 18584.51804999491
1700, 23745, 18390, 20445.265, 1067821.0247750005, 20470.04967934914, 1193820.4356296565, 21691.636984676545, 19248.462374021736
1750, 26832, 18865, 21210.38, 1415748.3155999994, 21173.123372481354, 1265604.8816068168, 22430.90161287531, 19915.345132087397
1800, 26214, 19516, 21920.945, 1644981.101975, 21879.052964782615, 1339487.7903484798, 23173.023496879694, 20585.082432685536
1850, 26922, 20461, 22708.205, 1405410.8129749997, 22587.759149105666, 1415469.2411617255, 23917.923256068472, 21257.59504214286
1900, 27805, 20746, 23247.035, 1510951.4537749996, 23299.166904467864, 1493549.3090674845, 24665.525801805732, 21932.808007129996
1950, 28422, 21335, 23970.655, 1599166.1259750002, 24013.205157685104, 1573728.0651389146, 25415.75999847517, 22610.65031689504
