n, max, min, es_ex, es_var, teo_ex, teo_var, teo_ex + cheb, teo_ex - cheb
50, 5, 0, 1.155, 1.2909749999999973, 1, 1, 1.8350043892860413, 0.16499561071395874
60, 5, 0, 1.12, 1.225599999999998, 1, 1, 1.8350043892860413, 0.16499561071395874
70, 4, 0, 0.995, 1.0849750000000014, 1, 1, 1.8350043892860413, 0.16499561071395874
80, 5, 0, 1.155, 1.190974999999997, 1, 1, 1.8350043892860413, 0.16499561071395874
90, 4, 0, 0.97, 0.9091000000000008, 1, 1, 1.8350043892860413, 0.16499561071395874
100, 5, 0, 0.975, 1.1143750000000028, 1, 1, 1.8350043892860413, 0.16499561071395874
110, 5, 0, 1.025, 1.0243750000000014, 1, 1, 1.8350043892860413, 0.16499561071395874
120, 5, 0, 0.995, 1.1749750000000005, 1, 1, 1.8350043892860413, 0.16499561071395874
130, 3, 0, 0.955, 0.7629750000000017, 1, 1, 1.8350043892860413, 0.16499561071395874
140, 4, 0, 0.895, 0.7539749999999995, 1, 1, 1.8350043892860413, 0.16499561071395874
150, 4, 0, 1.02, 0.9096000000000016, 1, 1, 1.8350043892860413, 0.16499561071395874
160, 4, 0, 1.105, 1.1839749999999976, 1, 1, 1.8350043892860413, 0.16499561071395874
170, 4, 0, 1.0, 0.98, 1, 1, 1.8350043892860413, 0.16499561071395874
180, 4, 0, 1.035, 1.0137750000000012, 1, 1, 1.8350043892860413, 0.16499561071395874
190, 6, 0, 0.935, 1.0307749999999969, 1, 1, 1.8350043892860413, 0.16499561071395874
200, 4, 0, 0.9, 0.8300000000000008, 1, 1, 1.8350043892860413, 0.16499561071395874
210, 5, 0, 1.095, 1.1659750000000038, 1, 1, 1.8350043892860413, 0.16499561071395874
220, 3, 0, 1.015, 0.8847750000000003, 1, 1, 1.8350043892860413, 0.16499561071395874
230, 4, 0, 0.835, 0.897775000000001, 1, 1, 1.8350043892860413, 0.16499561071395874
240, 4, 0, 1.03, 0.8791000000000008, 1, 1, 1.8350043892860413, 0.16499561071395874
250, 5, 0, 1.005, 1.0649750000000013, 1, 1, 1.8350043892860413, 0.16499561071395874
260, 4, 0, 1.11, 1.1379000000000024, 1, 1, 1.8350043892860413, 0.16499561071395874
270, 4, 0, 0.98, 0.9196000000000008, 1, 1, 1.8350043892860413, 0.16499561071395874
280, 4, 0, 1.03, 0.9091000000000007, 1, 1, 1.8350043892860413, 0.16499561071395874
290, 6, 0, 1.085, 1.1377749999999993, 1, 1, 1.8350043892860413, 0.16499561071395874
300, 5, 0, 0.975, 1.0443750000000018, 1, 1, 1.8350043892860413, 0.16499561071395874
310, 5, 0, 0.965, 1.083775000000003, 1, 1, 1.8350043892860413, 0.16499561071395874
320, 5, 0, 1.11, 1.2179000000000026, 1, 1, 1.8350043892860413, 0.16499561071395874
330, 4, 0, 0.895, 0.7939750000000001, 1, 1, 1.8350043892860413, 0.16499561071395874
340, 4, 0, 0.935, 0.9107749999999969, 1, 1, 1.8350043892860413, 0.16499561071395874
350, 4, 0, 0.965, 0.9837750000000028, 1, 1, 1.8350043892860413, 0.16499561071395874
360, 5, 0, 1.075, 1.0793749999999993, 1, 1, 1.8350043892860413, 0.16499561071395874
370, 4, 0, 1.01, 0.9499000000000024, 1, 1, 1.8350043892860413, 0.16499561071395874
380, 6, 0, 1.115, 1.0117749999999994, 1, 1, 1.8350043892860413, 0.16499561071395874
390, 5, 0, 0.995, 0.9449749999999999, 1, 1, 1.8350043892860413, 0.16499561071395874
400, 5, 0, 0.955, 0.8829750000000015, 1, 1, 1.8350043892860413, 0.16499561071395874
410, 5, 0, 0.955, 1.0229750000000015, 1, 1, 1.8350043892860413, 0.16499561071395874
420, 4, 0, 0.93, 0.925100000000001, 1, 1, 1.8350043892860413, 0.16499561071395874
430, 4, 0, 0.98, 0.7795999999999996, 1, 1, 1.8350043892860413, 0.16499561071395874
440, 4, 0, 1.075, 0.8993749999999993, 1, 1, 1.8350043892860413, 0.16499561071395874
450, 4, 0, 0.895, 0.7939749999999998, 1, 1, 1.8350043892860413, 0.16499561071395874
460, 5, 0, 0.955, 0.9829750000000019, 1, 1, 1.8350043892860413, 0.16499561071395874
470, 5, 0, 1.13, 0.9931000000000012, 1, 1, 1.8350043892860413, 0.16499561071395874
480, 4, 0, 0.845, 0.8809749999999985, 1, 1, 1.8350043892860413, 0.16499561071395874
490, 5, 0, 0.995, 0.9449750000000001, 1, 1, 1.8350043892860413, 0.16499561071395874
500, 5, 0, 0.98, 0.9496000000000009, 1, 1, 1.8350043892860413, 0.16499561071395874
510, 5, 0, 1.17, 0.9910999999999963, 1, 1, 1.8350043892860413, 0.16499561071395874
520, 5, 0, 0.995, 0.9649749999999995, 1, 1, 1.8350043892860413, 0.16499561071395874
530, 6, 0, 0.885, 0.9817749999999993, 1, 1, 1.8350043892860413, 0.16499561071395874
540, 6, 0, 1.225, 1.1443750000000015, 1, 1, 1.8350043892860413, 0.16499561071395874
550, 6, 0, 1.04, 1.1384000000000019, 1, 1, 1.8350043892860413, 0.16499561071395874
560, 5, 0, 1.01, 1.099900000000002, 1, 1, 1.8350043892860413, 0.16499561071395874
570, 5, 0, 0.91, 0.8619000000000018, 1, 1, 1.8350043892860413, 0.16499561071395874
580, 5, 0, 1.045, 0.9129750000000024, 1, 1, 1.8350043892860413, 0.16499561071395874
590, 5, 0, 1.06, 1.1464000000000023, 1, 1, 1.8350043892860413, 0.16499561071395874
600, 5, 0, 1.03, 1.2391000000000008, 1, 1, 1.8350043892860413, 0.16499561071395874
