n, max, min, es_ex, es_var, teo_ex, teo_var, teo_ex + cheb, teo_ex - cheb
50, 10, 1, 4.645, 3.068975000000001, 4.499205338329423, 2.874072604707905, 5.334209727615464, 3.664200949043382
60, 11, 1, 4.715, 3.3437750000000013, 4.679870412951736, 3.051464895443374, 5.514874802237777, 3.844866023665695
70, 9, 1, 4.78, 3.0416000000000025, 4.832836757638071, 3.2020868501480493, 5.667841146924112, 3.9978323683520296
80, 10, 1, 4.885, 3.091775000000002, 4.965479278945517, 3.332967412607939, 5.800483668231558, 4.130474889659475
90, 12, 1, 5.095, 3.235975000000002, 5.082570602848516, 3.448686147334371, 5.917574992134557, 4.247566213562474
100, 11, 2, 5.225, 3.584374999999998, 5.187377517639621, 3.552393617454719, 6.022381906925662, 4.352373128353579
110, 12, 1, 5.35, 4.367499999999998, 5.282234598243978, 3.646350243389673, 6.117238987530019, 4.4472302089579365
120, 11, 2, 5.4, 3.680000000000001, 5.368868287353397, 3.7322329280655353, 6.203872676639438, 4.533863898067356
130, 12, 1, 5.63, 4.243099999999995, 5.448591338265977, 3.8113200691713587, 6.283595727552019, 4.613586948979936
140, 10, 1, 5.51, 4.1899, 5.522425264403279, 3.8846086052317723, 6.35742965368932, 4.687420875117238
150, 12, 2, 5.545, 3.067974999999999, 5.591180588643881, 3.952891015622363, 6.426184977929922, 4.7561761993578395
160, 12, 1, 5.42, 3.6935999999999996, 5.655511224939744, 4.016807667531282, 6.490515614225785, 4.820506835653703
170, 11, 1, 5.745, 4.0799749999999975, 5.715952394926019, 4.076883413904255, 6.55095678421206, 4.880948005639977
180, 13, 1, 5.64, 3.9403999999999986, 5.772947721561, 4.1335538067473365, 6.607952110847041, 4.937943332274958
190, 12, 1, 5.8, 4.340000000000004, 5.826869007613198, 4.187184272543028, 6.66187339689924, 4.991864618327157
200, 13, 2, 5.94, 5.116400000000003, 5.878030948121446, 4.238084402106445, 6.713035337407487, 5.043026558835405
210, 12, 1, 6.055, 4.521974999999997, 5.9267022583594935, 4.286518776401216, 6.761706647645535, 5.091697869073452
220, 12, 1, 5.99, 4.059899999999997, 5.973114216767095, 4.332715289538136, 6.808118606053136, 5.1381098274810535
230, 12, 2, 5.965, 4.443775000000003, 6.017467311571878, 4.3768716327129695, 6.85247170085792, 5.182462922285837
240, 11, 2, 5.89, 3.7478999999999925, 6.059936474820111, 4.419160406139291, 6.894940864106152, 5.2249320855340695
250, 12, 2, 5.95, 4.127500000000003, 6.100675249432579, 4.45973319325099, 6.935679638718621, 5.265670860146538
260, 12, 2, 5.995, 3.964975, 6.139819140100344, 4.498723840131177, 6.974823529386385, 5.304814750814303
270, 11, 2, 6.05, 3.5875000000000017, 6.1774883326349, 4.536251119247346, 7.012492721920942, 5.342483943348859
280, 12, 1, 6.175, 4.854375000000001, 6.213789919432683, 4.57242091119717, 7.048794308718724, 5.378785530146642
290, 11, 1, 6.035, 4.403775000000003, 6.248819734930396, 4.60732800547472, 7.083824124216437, 5.4138153456443545
300, 13, 1, 6.425, 4.704375000000003, 6.282663880299502, 4.641057597401918, 7.117668269585543, 5.447659491013461
310, 14, 2, 6.21, 5.1558999999999955, 6.315399998455159, 4.673686540739496, 7.1504043877412, 5.4803956091691175
320, 15, 1, 6.48, 5.249599999999992, 6.347098346894013, 4.705284402319613, 7.182102736180054, 5.512093957607972
330, 12, 1, 6.535, 4.528774999999993, 6.377822705649871, 4.735914355101528, 7.212827094935912, 5.54281831636383
340, 14, 2, 6.815, 5.020774999999993, 6.407631149871068, 4.765633938474409, 7.242635539157109, 5.572626760585027
350, 14, 2, 6.5, 5.79, 6.436576710542007, 4.79449570880557, 7.271581099828048, 5.601572321255966
360, 13, 2, 6.625, 5.094375, 6.464707942236957, 4.822547798714062, 7.299712331522998, 5.629703552950915
370, 14, 2, 6.58, 5.433599999999995, 6.492069413174771, 4.849834400018686, 7.327073802460812, 5.6570650238887294
380, 14, 1, 6.925, 4.959375000000002, 6.518702129995399, 4.876396182528062, 7.35370651928144, 5.683697740709357
390, 14, 1, 6.325, 4.9993750000000015, 6.54464390742247, 4.9022706586370575, 7.3796482967085115, 5.709639518136429
400, 15, 2, 6.775, 3.9043749999999973, 6.5699296911765055, 4.927492501932463, 7.404934080462547, 5.734925301890464
410, 12, 2, 6.61, 4.987900000000001, 6.594591841058637, 4.952093826598919, 7.4295962303446785, 5.759587451772596
420, 13, 2, 6.96, 4.958400000000001, 6.618660379958502, 4.9761044332737185, 7.4536647692445435, 5.783655990672461
430, 13, 1, 6.69, 5.6438999999999915, 6.642163213592988, 4.999552026072003, 7.477167602879029, 5.8071588243069465
440, 13, 2, 6.555, 4.256974999999996, 6.665126325009651, 5.022462404746136, 7.500130714295692, 5.83012193572361
450, 13, 2, 6.74, 4.212400000000001, 6.6875739472545765, 5.0448596353218065, 7.522578336540618, 5.852569557968535
460, 14, 1, 6.715, 5.673774999999998, 6.709528717081769, 5.066766202040398, 7.54453310636781, 5.8745243277957275
470, 12, 2, 6.605, 4.998974999999999, 6.731011812148432, 5.088203143012414, 7.566016201434473, 5.89600742286239
480, 13, 2, 6.775, 4.594375, 6.752043073780474, 5.109190171633799, 7.587047463066515, 5.9170386844944325
490, 13, 2, 6.79, 3.9158999999999993, 6.772641117092005, 5.129745785521358, 7.607645506378046, 5.937636727805963
500, 12, 2, 6.56, 5.3563999999999945, 6.79282342999052, 5.149887364475688, 7.627827819276561, 5.957819040704479
510, 13, 2, 6.57, 4.6951000000000045, 6.8126064623872935, 5.169631258771709, 7.647610851673335, 5.977602073101252
520, 17, 2, 6.895, 5.653975000000003, 6.832005706753252, 5.188992868901039, 7.667010096039293, 5.997001317467211
530, 16, 1, 7.175, 5.714375000000005, 6.85103577100874, 5.207986717739992, 7.686040160294781, 6.016031381722699
540, 14, 1, 7.085, 5.107774999999995, 6.869710444606268, 5.226626515990752, 7.704714833892309, 6.0347060553202265
550, 13, 1, 7.115, 5.4717749999999965, 6.888042758555136, 5.24492522163434, 7.723047147841177, 6.053038369269094
560, 13, 2, 7.13, 4.83309999999999, 6.906045040042375, 5.262895094041205, 7.741049429328417, 6.071040650756334
570, 17, 1, 7.31, 6.683900000000001, 6.923728962223488, 5.280547743305107, 7.758733351509529, 6.088724572937447
580, 13, 2, 7.01, 4.9399, 6.941105589686623, 5.2978941752978415, 7.776109978972665, 6.106101200400582
590, 15, 2, 6.81, 5.633900000000012, 6.958185420033677, 5.3149448328823325, 7.793189809319718, 6.123181030747635
600, 15, 1, 6.765, 5.749774999999997, 6.974978421969597, 5.331709633670734, 7.809982811255638, 6.139974032683556
610, 16, 2, 7.035, 5.373774999999999, 6.991494070245965, 5.348198004669484, 7.826498459532006, 6.156489680959924
620, 17, 2, 7.215, 4.988775000000001, 7.007741377765563, 5.36441891411404, 7.842745767051604, 6.172736988479522
630, 16, 2, 7.0, 4.63, 7.023728925120289, 5.380380900762731, 7.85873331440633, 6.188724535834248
640, 14, 2, 7.22, 5.831599999999997, 7.039464887804781, 5.396092100889192, 7.874469277090823, 6.20446049851874
650, 14, 3, 7.15, 5.197499999999996, 7.054957061321836, 5.411560273186986, 7.889961450607878, 6.219952672035795
660, 14, 2, 7.315, 4.875775000000011, 7.070212884372617, 5.426792821777184, 7.905217273658658, 6.235208495086575
670, 16, 1, 6.86, 5.890400000000011, 7.085239460304336, 5.441796817489859, 7.920243849590377, 6.250235071018294
680, 13, 2, 7.095, 4.685974999999996, 7.1000435769702275, 5.456579017572452, 7.935047966256269, 6.265039187684186
690, 13, 2, 7.01, 4.709900000000002, 7.1146317251407805, 5.471145883962656, 7.949636114426822, 6.279627335854739
700, 15, 1, 7.29, 5.905899999999999, 7.1290101155912335, 5.485503600249288, 7.964014504877275, 6.294005726305192
710, 15, 2, 7.005, 4.504975000000003, 7.1431846949779265, 5.499658087432863, 7.978189084263968, 6.308180305691885
720, 15, 2, 7.135, 5.456775, 7.1571611606050825, 5.513615018586073, 7.992165549891124, 6.322156771319041
730, 17, 1, 7.435, 6.235774999999998, 7.1709449741737945, 5.527379832505325, 8.005949363459836, 6.335940584887753
740, 15, 1, 7.005, 5.7449750000000055, 7.184541374596248, 5.540957746435403, 8.019545763882288, 6.349536985310206
750, 17, 3, 7.17, 5.751100000000003, 7.197955389950435, 5.554353767941706, 8.032959779236476, 6.362951000664394
760, 14, 2, 7.07, 4.5251000000000055, 7.211191848643617, 5.567572705997748, 8.046196237929658, 6.376187459357576
770, 15, 2, 7.535, 6.498774999999994, 7.224255389846549, 5.58061918134954, 8.05925977913259, 6.389251000560508
780, 16, 1, 7.36, 6.590399999999997, 7.237150473254928, 5.593497636212199, 8.07215486254097, 6.402146083968887
790, 14, 2, 7.425, 5.2443750000000025, 7.249881388229418, 5.606212343350343, 8.08488577751546, 6.4148769989433765
800, 15, 2, 7.325, 5.449375000000004, 7.2624522623611485, 5.618767414588426, 8.097456651647189, 6.427447873075107
810, 17, 2, 7.145, 4.703975000000001, 7.274867069505497, 5.631166808793132, 8.109871458791538, 6.439862680219456
820, 17, 2, 7.24, 5.132399999999995, 7.287129637323247, 5.643414339367382, 8.122134026609288, 6.4521252480372056
830, 15, 2, 7.28, 4.961600000000003, 7.29924365436496, 5.655513681290529, 8.134248043651002, 6.464239265078919
840, 14, 3, 7.0, 5.19, 7.311212676731355, 5.66746837773794, 8.146217066017396, 6.4762082874453135
850, 14, 3, 7.53, 5.699099999999996, 7.323040134339779, 5.679281846309564, 8.15804452362582, 6.488035745053738
860, 14, 2, 7.065, 5.01077500000001, 7.3347293368244255, 5.690957384894723, 8.169733726110467, 6.499724947538384
870, 15, 1, 7.12, 5.715600000000013, 7.346283479095651, 5.702498177198557, 8.181287868381691, 6.51127908980961
880, 16, 2, 7.25, 5.3475, 7.357705646581792, 5.713907297953256, 8.192710035867833, 6.522701257295751
890, 14, 3, 7.39, 5.577900000000004, 7.368998820174971, 5.725187717835297, 8.204003209461012, 6.53399443088893
900, 18, 2, 7.525, 7.269374999999993, 7.380165880900755, 5.736342308108277, 8.215170270186796, 6.545161491614714
910, 15, 3, 7.255, 4.919974999999995, 7.391209614329924, 5.747373845009932, 8.226214003615965, 6.5562052250438825
920, 15, 2, 7.5, 6.91, 7.402132714749296, 5.758285013899567, 8.237137104035337, 6.567128325463255
930, 16, 1, 7.33, 6.731100000000001, 7.412937789107199, 5.769078413181809, 8.24794217839324, 6.577933399821157
940, 15, 2, 7.475, 5.269374999999997, 7.423627360748061, 5.779756558020779, 8.258631750034102, 6.58862297146202
950, 13, 2, 7.415, 5.732774999999998, 7.434203872949501, 5.790321883857963, 8.269208262235543, 6.59919948366346
960, 14, 2, 7.275, 5.199374999999999, 7.444669692274306, 5.800776749746362, 8.279674081560348, 6.609665302988264
970, 15, 2, 7.26, 4.9224000000000006, 7.455027111748813, 5.81112344151213, 8.290031501034854, 6.620022722462772
980, 18, 2, 7.335, 5.402775000000002, 7.465278353878389, 5.821364174754095, 8.30028274316443, 6.630273964592348
990, 16, 1, 7.35, 5.827499999999998, 7.475425573509889, 5.8315010976915005, 8.31042996279593, 6.640421184223848
