n, max, min, es_ex, es_var, teo_ex, teo_var, teo_ex + cheb, teo_ex - cheb
50, 9, 1, 4.56, 2.9564000000000004, 4.499205338329423, 2.874072604707905, 5.334209727615464, 3.664200949043382
60, 9, 1, 4.68, 2.557599999999997, 4.679870412951736, 3.051464895443374, 5.514874802237777, 3.844866023665695
70, 10, 1, 4.88, 3.815600000000006, 4.832836757638071, 3.2020868501480493, 5.667841146924112, 3.9978323683520296
80, 9, 1, 5.035, 2.8137749999999992, 4.965479278945517, 3.332967412607939, 5.800483668231558, 4.130474889659475
90, 12, 1, 5.25, 4.3075, 5.082570602848516, 3.448686147334371, 5.917574992134557, 4.247566213562474
100, 12, 1, 5.205, 4.392975000000002, 5.187377517639621, 3.552393617454719, 6.022381906925662, 4.352373128353579
110, 14, 1, 5.395, 3.5889749999999996, 5.282234598243978, 3.646350243389673, 6.117238987530019, 4.4472302089579365
120, 11, 1, 5.365, 3.3417750000000086, 5.368868287353397, 3.7322329280655353, 6.203872676639438, 4.533863898067356
130, 11, 1, 5.63, 3.8630999999999966, 5.448591338265977, 3.8113200691713587, 6.283595727552019, 4.613586948979936
140, 11, 1, 5.24, 3.8223999999999965, 5.522425264403279, 3.8846086052317723, 6.35742965368932, 4.687420875117238
150, 12, 1, 5.565, 3.875774999999986, 5.591180588643881, 3.952891015622363, 6.426184977929922, 4.7561761993578395
160, 12, 1, 5.505, 3.789975000000001, 5.655511224939744, 4.016807667531282, 6.490515614225785, 4.820506835653703
170, 10, 1, 5.825, 3.994375000000001, 5.715952394926019, 4.076883413904255, 6.55095678421206, 4.880948005639977
180, 13, 1, 5.72, 3.6715999999999993, 5.772947721561, 4.1335538067473365, 6.607952110847041, 4.937943332274958
190, 12, 1, 6.105, 4.3839749999999995, 5.826869007613198, 4.187184272543028, 6.66187339689924, 4.991864618327157
200, 11, 1, 5.97, 3.9691000000000027, 5.878030948121446, 4.238084402106445, 6.713035337407487, 5.043026558835405
210, 11, 1, 5.86, 4.280400000000003, 5.9267022583594935, 4.286518776401216, 6.761706647645535, 5.091697869073452
220, 12, 1, 5.815, 3.880774999999994, 5.973114216767095, 4.332715289538136, 6.808118606053136, 5.1381098274810535
230, 12, 1, 5.975, 4.214374999999997, 6.017467311571878, 4.3768716327129695, 6.85247170085792, 5.182462922285837
240, 12, 1, 6.19, 4.743900000000016, 6.059936474820111, 4.419160406139291, 6.894940864106152, 5.2249320855340695
250, 12, 2, 6.16, 4.554400000000005, 6.100675249432579, 4.45973319325099, 6.935679638718621, 5.265670860146538
260, 11, 2, 6.11, 4.1078999999999946, 6.139819140100344, 4.498723840131177, 6.974823529386385, 5.304814750814303
270, 15, 1, 6.205, 5.282975000000002, 6.1774883326349, 4.536251119247346, 7.012492721920942, 5.342483943348859
